Trial,Word,Color,Correct_Key,Response,RT,Correct,Timestamp,ITI
33,red,blue,right,right,0.540557499974966,1,2025-02-25_09:44:00:494836,1.505
34,green,green,down,down,0.5782217000378296,1,2025-02-25_09:44:02:013659,1.3559999999999999
35,red,red,left,left,0.4445821000263095,1,2025-02-25_09:44:03:383187,1.169
36,blue,green,down,down,0.9124635000480339,1,2025-02-25_09:44:04:566891,1.113
37,green,blue,right,right,0.5094574999529868,1,2025-02-25_09:44:05:690704,1.6400000000000001
38,blue,blue,right,right,0.8122549999970943,1,2025-02-25_09:44:07:337570,1.085
39,green,red,left,left,0.48207280004862696,1,2025-02-25_09:44:08:482955,1.7149999999999999
40,blue,green,down,down,0.7080549000529572,1,2025-02-25_09:44:10:206721,1.286
41,blue,blue,right,right,0.4652103000553325,1,2025-02-25_09:44:11:513454,1.071
42,red,red,left,left,0.498295999947004,1,2025-02-25_09:44:12:598355,1.176
